tconst,originalTitle,year,genres,Rating,director,plot
tt13086602,Sid: The Final Curtain,2022,Documentary,8.3,Danny Garcia,"The story of the Youngest Hacker Boy, Who hack the people on him/her Birthday to surprise. The Boy is very intelligent . Rohit Chouhan said that in this Story he has written something amazing to fall you in the Story. The story has the greatest Suspense."
tt13086670,Vysehrad: Fylm,2022,"Comedy,Sport",6.3,"Martin Kopp, Jakub Stáfek","Princess attempts to save her best friend from a pimp, and her brother from the streets. After meeting a scammer named Omar, Princess runs a multi-million dollar empire but faced with the ultimate betrayal."
tt13087002,One Extraordinary Year,2021,Documentary,7.4,"Kieran Kolle, Wes Pollitt, Rupert Smith","All over the world, the athletic community is reeling; the Covid pandemic of 2020/2021 has brought changes and restrictions to the world community. Inspirational, compelling, and uplifting, this film follows the lives of the most determined athletes, as they experience a truly unique period of sporting and world history. As we spend time with an extraordinary cast of ... Read all"
tt13088688,Happy Hacker's Day,2023,"Mystery,Thriller",9.9,Rohit Chouhan,"War has always been the fate of humanity. But the advent of artificial intelligence and the hyper-digitization of weapons is a game changer. In these new conflicts, the front seems to take the shape of a new demon."
tt13089446,Bellum - The daemon of war,2021,"Documentary,War",5.9,"Georg Götmark, David Herdies","Golden-age Sarannah is married to Hamdy, an Egyptian man 30-years her junior. Could this be true love - or is it yet another unspoken 'business' relationship so often seen in contemporary Luxor? Sarannah feels she was given a new shot at life at 50 and can now re-live her youth. Madly in love with Hamdy, all she wants to do is spend time with him and enjoy life. In he... Read all"
tt13090350,The Female Hustler,2021,"Crime,Drama",6.0,Dom Campbell,Documentary about Sid Vicious' last shows in New York City.
tt13090932,The Jungle Demon,2021,"Adventure,Horror,Thriller",9.0,Rey Cajacuri,5 young guys take a journey to peruvian jungle to find out a city old gold missing.
tt13093834,Call Me Kate,2023,Documentary,7.1,Lorna Tucker,"A feature documentary which captures Katharine Hepburn's spirit and determination, exploring her story using her own words, through a combination of hours of previously hidden and intimate audio tapes, video and photographic archive."
tt13097060,This Side Up,2021,"Comedy,Drama,Romance",6.2,David Lanning,"A struggling screenwriter is dumped by his high school sweetheart. Having no sense of direction in his life, he moves into a public storage unit, where he figures out life in a funny way."
tt13097284,My Mohamed Is Different,2021,Documentary,6.8,Inès Marzouk,"More than a year has passed since the last time we saw Julio Lavický (Jakub Stáfek) (yes, it was when he ""sold"" the match, but forgot about it and scored a beautiful goal). Lavi is, as his agent would say Jarda (Jakub Prachar), still the same demented person, but he finally started to do well. Both in football and in his personal life. With Vysehrad, he advanced to th... Read all"
tt13097336,The Lady of Heaven,2021,"Action,Drama,History",5.7,Eli King,"A dramatic reconstruction of the infamous 2007 HIV case in the Dutch city of Groningen, where drugged guests were injected with HIV-positive blood during sex parties."
tt13097910,Feast,2021,"Documentary,Drama",5.2,Tim Leyendekker,"The true story, openly told by the members, about the band who brought the harmonys, riffs and choirs into punk and garage rock. Words cannot describe all the ways they've influenced the music scene- shown in hundreds of offsprings trying to produce the same sound. The life of Hellacopters, and present and past members, is lively illustrated bringing laughter as well ... Read all"
tt13097932,One Life,2023,"Biography,Drama,History",7.5,James Hawes,In a heavily religious Irish society a young actor struggling with gender identity has to let go of his idea of masculinity before he loses sight of who he is and those he loves.
tt13098066,When Men Were Men,2021,Drama,7.1,,"On May 18, 2018, Christian Riley Garcia was among the 10 who were shot and killed in the Santa Fe high school shooting. This film will examine the impact of his heroic actions and his families fight for healing in the wakes of their loss."
tt13098866,I'm in the Band,2021,Documentary,7.4,"Johan Bååth, Amir Chamdin","Two stories separated by 1400 years. After losing his mother in the midst of a war-torn country, an Iraqi child, learns the importance and power of patience by discovering the historical story of Lady Fatima and her suffering."
tt13098894,Godavari,2021,Drama,8.1,Nikhil Mahajan,"Set in present day Nashik, a city in western India on the banks of the river Godavari, this is the story of a family that is coping with death - one they know about and another that they aren't prepared for."
